,ID,Suc_flag,ARPU,PromCnt12,PromCnt36,PromCntMsg12,PromCntMsg36,Class,Age,Gender,HomeOwner,AvgARPU,AvgHomeValue,AvgIncome,Age_empflag,AvgHomeValue_empflag,AvgIncome_empflag,Age_group1,Age_group2
31,551,1,100.0,4.15,7.75,1.6,3.4,4,85.0,F,H,49.00322061,34000.0,36236.0,False,False,False,"(69, 86]","(69.75, 86]"
32,557,1,75.0,7.15,11.5,1.8,3.6,2,59.1589722451,F,H,48.78607934,78900.0,37480.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
33,564,0,,6.0,10.0,2.2,4.0,2,59.0,F,H,59.86827383,257300.0,101339.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
34,578,1,50.0,7.15,10.5,2.4,3.6,2,59.1589722451,F,U,49.03749691,182100.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
35,591,1,125.0,7.4,12.0,2.4,4.4,3,80.0,M,H,59.75149857,71100.0,37481.0,False,False,False,"(69, 86]","(69.75, 86]"
36,637,1,125.0,6.65,11.25,2.0,4.0,4,81.0,F,H,52.16147789,286500.0,69298.0,False,False,False,"(69, 86]","(69.75, 86]"
37,661,1,100.0,6.9,11.75,2.4,4.2,2,32.0,M,H,58.4545391,180100.0,40805.0,False,False,False,"[21, 51]","(20.935, 37.25]"
38,665,0,,6.75,12.0,2.2,2.2,4,53.0,F,H,54.20841884,74200.0,59522.0,False,False,False,"(51, 59.159]","(37.25, 53.5]"
39,675,1,75.0,4.65,9.25,1.6,3.2,2,82.0,F,H,51.1253235,171400.0,50221.0,False,False,False,"(69, 86]","(69.75, 86]"
40,683,1,25.0,6.9,11.25,2.4,4.2,1,79.0,F,U,48.98131798,225700.0,53513.4573612,False,False,True,"(69, 86]","(69.75, 86]"
41,687,0,,5.5,10.25,2.0,4.0,1,73.0,M,H,49.37194862,140700.0,72702.0,False,False,False,"(69, 86]","(69.75, 86]"
42,701,0,,6.75,11.75,2.0,4.2,2,59.1589722451,F,U,57.96491932,40700.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
43,714,0,,6.25,11.75,2.2,4.4,4,33.0,F,H,51.41440012,205100.0,53218.0,False,False,False,"[21, 51]","(20.935, 37.25]"
44,718,1,175.0,5.9,10.5,2.0,4.0,2,75.0,F,H,59.09505849,121500.0,44440.0,False,False,False,"(69, 86]","(69.75, 86]"
45,727,1,10.0,4.9,9.75,2.2,4.0,1,73.0,F,H,48.51775384,24000.0,45515.0,False,False,False,"(69, 86]","(69.75, 86]"
46,751,1,55.0,5.9,11.0,1.8,3.8,2,67.0,F,U,50.43906304,225000.0,53513.4573612,False,False,True,"(59.159, 69]","(53.5, 69.75]"
47,785,1,90.0,5.15,8.75,1.6,1.4,2,52.0,M,U,59.34150075,61300.0,16921.0,False,False,False,"(51, 59.159]","(37.25, 53.5]"
48,790,1,75.0,4.4,8.75,1.2,1.0,2,71.0,M,U,53.63108386,58000.0,53929.0,False,False,False,"(69, 86]","(69.75, 86]"
49,793,1,75.0,4.4,8.5,1.0,2.4,3,86.0,F,H,51.58544278,156800.0,41505.0,False,False,False,"(69, 86]","(69.75, 86]"
50,804,0,,3.25,8.5,1.2,3.2,1,21.0,F,H,50.13420015,122700.0,37446.0,False,False,False,"[21, 51]","(20.935, 37.25]"
51,826,0,,5.25,9.75,1.4,3.2,3,21.0,F,U,48.77694373,34800.0,53513.4573612,False,False,True,"[21, 51]","(20.935, 37.25]"
52,894,1,200.0,9.15,13.75,2.4,4.4,2,57.0,M,H,55.39507871,86000.0,48783.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
53,898,0,,3.75,9.0,1.2,3.2,1,78.0,F,H,49.23365802,38800.0,41000.0,False,False,False,"(69, 86]","(69.75, 86]"
54,903,0,,3.5,8.0,1.2,2.8,1,59.1589722451,F,U,49.33712067,52800.0,38578.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
55,905,0,,3.5,7.5,0.8,0.8,3,65.0,M,H,54.69172877,162900.0,64459.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
56,931,1,60.0,6.4,11.5,2.2,4.2,1,50.0,M,H,48.52236935,64600.0,40909.0,False,False,False,"[21, 51]","(37.25, 53.5]"
57,959,1,50.0,2.9,6.75,1.0,2.4,2,53.0,F,H,50.22215798,58600.0,54871.0,False,False,False,"(51, 59.159]","(37.25, 53.5]"
58,971,1,40.0,6.4,11.0,2.4,4.2,2,57.0,F,H,48.69696835,69500.0,36415.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
59,987,1,15.0,7.4,11.25,2.6,4.0,1,54.0,F,H,50.25530802,214000.0,100300.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
60,1006,1,105.0,8.15,13.25,2.4,4.4,4,66.0,F,H,49.23166731,38500.0,37125.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
61,1007,0,,5.75,10.5,1.6,3.6,1,66.0,F,H,47.81216949,26600.0,29327.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
62,1012,1,75.0,7.4,12.0,2.4,4.4,3,75.0,M,H,49.14596062,113300.0,42061.0,False,False,False,"(69, 86]","(69.75, 86]"
63,1034,1,60.0,6.65,11.5,2.4,4.4,4,59.1589722451,M,H,50.41803473,141600.0,49306.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
64,1042,1,40.0,3.15,7.5,1.0,2.6,2,59.1589722451,M,H,50.37093443,82600.0,38166.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
65,1054,1,40.0,3.4,7.25,1.2,2.4,1,59.1589722451,F,U,49.79232548,116100.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
66,1064,1,25.0,7.9,13.0,2.4,4.4,2,69.0,M,U,48.90199957,143700.0,53513.4573612,False,False,True,"(59.159, 69]","(53.5, 69.75]"
67,1068,1,25.0,5.15,10.0,1.2,3.2,1,66.0,F,H,52.75822906,352800.0,92525.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
68,1092,1,75.0,7.15,12.0,2.2,4.0,3,69.0,M,H,55.27497918,581700.0,72750.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
69,1101,1,100.0,7.15,11.75,2.4,4.4,3,55.0,F,H,48.422677,48300.0,35567.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
70,1102,1,55.0,7.65,12.0,2.4,4.4,3,86.0,M,U,48.88264192,88200.0,65650.0,False,False,False,"(69, 86]","(69.75, 86]"
71,1154,0,,2.5,6.5,0.8,2.0,3,78.0,F,U,51.03975798,113100.0,53513.4573612,False,False,True,"(69, 86]","(69.75, 86]"
72,1196,0,,5.5,10.5,2.2,4.4,1,32.0,M,U,49.33254194,134800.0,92295.0,False,False,False,"[21, 51]","(20.935, 37.25]"
73,1249,1,160.0,6.15,11.0,2.4,4.2,2,59.1589722451,M,U,49.29310335,143500.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
74,1254,1,150.0,3.15,6.75,1.0,0.8,2,49.0,M,H,64.93091447,110200.0,76187.0,False,False,False,"[21, 51]","(37.25, 53.5]"
75,1264,0,,2.0,4.75,0.6,1.6,3,71.0,M,H,50.25677719,68900.0,36042.0,False,False,False,"(69, 86]","(69.75, 86]"
76,1292,1,75.0,4.15,7.75,1.4,2.8,2,47.0,M,H,49.57343239,69200.0,53046.0,False,False,False,"[21, 51]","(37.25, 53.5]"
77,1293,1,10.0,3.65,8.5,1.4,3.2,1,75.0,F,H,50.3927677,91700.0,80104.0,False,False,False,"(69, 86]","(69.75, 86]"
78,1322,1,70.0,6.65,11.5,2.4,4.2,4,54.0,F,U,49.68872098,37600.0,45397.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
79,1329,0,,4.25,7.5,1.2,2.6,3,65.0,M,U,49.50838668,74500.0,48020.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
80,1334,0,,3.0,7.25,1.2,1.2,3,59.1589722451,M,U,71.08924524,113800.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
81,1348,0,,4.5,8.75,1.2,2.8,3,59.1589722451,U,U,51.63108627,275000.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
82,1357,1,75.0,7.65,12.75,2.4,4.4,3,40.0,F,H,49.6824696,88900.0,61176.0,False,False,False,"[21, 51]","(37.25, 53.5]"
83,1371,1,175.0,3.9,8.25,1.4,3.0,2,75.0,F,U,60.07783037,275300.0,53513.4573612,False,False,True,"(69, 86]","(69.75, 86]"
84,1396,0,,4.0,8.75,1.2,3.2,4,49.0,M,H,50.44249011,73000.0,43156.0,False,False,False,"[21, 51]","(37.25, 53.5]"
85,1397,0,,6.0,10.75,2.2,4.2,3,51.0,M,H,49.37596961,102400.0,47043.0,False,False,False,"[21, 51]","(37.25, 53.5]"
86,1400,0,,4.25,9.0,1.2,3.4,1,59.1589722451,M,H,50.51478175,180500.0,104341.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
87,1431,0,,5.75,11.0,1.8,3.8,2,76.0,M,H,49.06713974,41200.0,42813.0,False,False,False,"(69, 86]","(69.75, 86]"
88,1442,1,120.0,8.4,12.75,2.4,4.2,2,38.0,F,H,57.41434434,160200.0,75543.0,False,False,False,"[21, 51]","(37.25, 53.5]"
89,1480,0,,5.0,9.75,1.8,3.8,3,59.1589722451,F,U,64.64037834,150700.0,48772.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
90,1485,0,,3.5,9.0,1.2,3.4,3,47.0,F,H,51.95765908,193000.0,59239.0,False,False,False,"[21, 51]","(37.25, 53.5]"
91,1502,0,,3.0,5.75,0.8,0.8,3,51.0,F,H,53.51231773,176500.0,66172.0,False,False,False,"[21, 51]","(37.25, 53.5]"
92,1505,0,,6.25,11.5,2.2,4.2,4,59.1589722451,M,U,49.56924699,85600.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
93,1544,1,50.0,3.9,7.5,1.4,1.2,4,45.0,F,H,56.38181763,326000.0,47807.0,False,False,False,"[21, 51]","(37.25, 53.5]"
94,1549,1,250.0,3.65,7.0,1.4,2.6,3,81.0,M,U,77.34034508,586300.0,53513.4573612,False,False,True,"(69, 86]","(69.75, 86]"
95,1556,1,125.0,2.9,6.25,0.6,0.4,3,49.0,F,U,55.37706959,216700.0,64579.0,False,False,False,"[21, 51]","(37.25, 53.5]"
96,1617,1,75.0,7.4,11.75,2.4,4.2,3,75.0,F,H,56.07843374,597000.0,174183.0,False,False,False,"(69, 86]","(69.75, 86]"
97,1635,0,,2.75,7.5,0.8,0.8,2,47.0,M,U,56.20077367,345300.0,53513.4573612,False,False,True,"[21, 51]","(37.25, 53.5]"
98,1646,1,50.0,3.9,8.0,1.2,2.6,2,50.0,M,H,50.19328249,67500.0,45897.0,False,False,False,"[21, 51]","(37.25, 53.5]"
99,1673,1,200.0,5.9,10.5,2.4,4.4,3,67.0,F,H,49.3047462,103300.0,44032.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
100,1685,1,100.0,4.65,8.5,1.6,3.0,4,67.0,U,U,50.34110306,113000.0,53513.4573612,False,False,True,"(59.159, 69]","(53.5, 69.75]"
101,1722,1,50.0,6.4,11.25,2.2,4.0,4,45.0,M,H,51.45714164,166800.0,64695.0,False,False,False,"[21, 51]","(37.25, 53.5]"
102,1731,1,60.0,7.65,11.0,2.4,3.6,3,79.0,M,H,50.85291149,198200.0,91864.0,False,False,False,"(69, 86]","(69.75, 86]"
103,1748,0,,4.5,9.0,1.4,3.0,2,74.0,M,H,59.13548322,40600.0,40054.0,False,False,False,"(69, 86]","(69.75, 86]"
104,1765,0,,2.5,6.75,0.8,2.4,1,59.1589722451,M,H,51.56951405,226200.0,61230.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
105,1779,1,62.5,5.4,9.75,1.8,3.4,4,59.1589722451,M,U,49.52345081,41700.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
106,1789,0,,2.75,7.75,1.0,3.2,2,79.0,M,U,49.60981,61300.0,46044.0,False,False,False,"(69, 86]","(69.75, 86]"
107,1799,1,50.0,6.65,11.5,2.4,4.2,2,59.1589722451,M,H,49.31625767,86000.0,51338.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
108,1818,0,,5.5,10.75,1.6,3.6,3,57.0,F,U,50.15075745,75700.0,48866.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
109,1832,0,,6.5,10.5,2.2,3.8,2,59.1589722451,M,U,57.63446131,74500.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
110,1889,0,,7.0,10.75,2.2,3.6,2,57.0,F,H,48.88476154,116200.0,41923.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
111,1899,1,62.5,3.9,7.75,1.2,2.4,3,49.0,M,H,51.76427223,151900.0,53225.0,False,False,False,"[21, 51]","(37.25, 53.5]"
112,1913,0,,5.0,9.0,1.6,3.2,4,73.0,M,U,49.96388934,59500.0,51954.0,False,False,False,"(69, 86]","(69.75, 86]"
113,1920,1,50.0,6.65,11.0,2.0,3.8,1,81.0,M,H,48.52594415,103200.0,38463.0,False,False,False,"(69, 86]","(69.75, 86]"
114,1925,1,175.0,4.65,8.0,1.6,2.8,2,72.0,M,H,60.21461604,346100.0,57132.0,False,False,False,"(69, 86]","(69.75, 86]"
115,1927,1,75.0,4.4,8.75,1.4,2.8,4,39.0,F,U,51.91560157,113300.0,61522.0,False,False,False,"[21, 51]","(37.25, 53.5]"
116,1928,0,,3.0,7.5,1.2,3.4,1,81.0,F,H,49.09401657,110400.0,59813.0,False,False,False,"(69, 86]","(69.75, 86]"
117,1959,1,250.0,6.4,9.0,2.0,2.8,3,39.0,F,H,66.97742148,267000.0,71604.0,False,False,False,"[21, 51]","(37.25, 53.5]"
118,1975,0,,5.75,9.0,1.6,2.8,3,61.0,M,H,49.38814529,69400.0,49394.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
119,1985,0,,4.0,8.75,1.4,3.2,3,51.0,M,H,51.63715632,140700.0,94179.0,False,False,False,"[21, 51]","(37.25, 53.5]"
120,1986,1,25.0,8.15,12.75,2.8,4.8,1,75.0,F,U,47.49157562,136800.0,53513.4573612,False,False,True,"(69, 86]","(69.75, 86]"
121,2020,1,35.0,6.65,11.25,2.4,4.2,2,73.0,F,U,52.10592198,355600.0,71746.0,False,False,False,"(69, 86]","(69.75, 86]"
122,2058,0,,3.75,7.5,0.8,2.0,4,59.1589722451,M,H,51.10194012,60500.0,44931.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
123,2063,0,,6.25,10.0,2.2,3.6,4,57.0,F,U,49.29072067,54300.0,40076.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
124,2081,1,35.0,6.65,11.0,2.0,3.8,2,59.1589722451,F,U,49.077949,87100.0,56210.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
125,2085,1,100.0,7.15,12.25,2.4,4.4,2,52.0,M,H,57.44128016,85200.0,55882.0,False,False,False,"(51, 59.159]","(37.25, 53.5]"
126,2087,0,,6.5,11.0,2.2,4.0,1,59.1589722451,M,U,47.43150167,64900.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
127,2151,1,125.0,6.65,11.5,2.4,4.4,2,47.0,M,H,57.47133944,112600.0,53513.4573612,False,False,True,"[21, 51]","(37.25, 53.5]"
128,2153,1,40.0,6.9,11.5,2.2,4.0,2,73.0,M,H,49.26183796,83900.0,63444.0,False,False,False,"(69, 86]","(69.75, 86]"
129,2154,1,75.0,6.65,10.5,2.4,4.0,2,77.0,M,H,56.63566261,65500.0,48104.0,False,False,False,"(69, 86]","(69.75, 86]"
130,2159,1,45.0,7.15,11.5,2.4,4.2,2,78.0,F,H,47.65785698,19800.0,27500.0,False,False,False,"(69, 86]","(69.75, 86]"
131,2162,0,,4.75,8.75,1.8,3.2,3,59.1589722451,U,U,49.6017529,46300.0,47321.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
132,2170,1,35.0,7.65,12.5,2.4,4.4,2,67.0,F,H,49.11034574,92300.0,72554.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
133,2194,1,20.0,5.65,10.0,2.0,3.8,1,37.0,M,H,48.82014075,100600.0,50524.0,False,False,False,"[21, 51]","(20.935, 37.25]"
134,2231,1,70.0,5.65,10.25,1.8,3.6,3,24.0,M,H,49.79107615,56400.0,55168.0,False,False,False,"[21, 51]","(20.935, 37.25]"
135,2235,1,60.0,6.9,11.75,2.4,4.4,3,65.0,M,H,49.24576553,87800.0,42155.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
136,2238,0,,6.0,10.75,2.2,4.4,2,67.0,M,U,48.45533813,97000.0,48197.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
137,2242,0,,5.75,8.5,2.2,3.2,2,59.1589722451,F,H,56.52937076,86300.0,63302.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
138,2262,1,62.5,6.15,10.75,2.0,4.0,1,57.0,F,H,49.32125787,177800.0,42955.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
139,2311,1,25.0,6.9,11.75,2.4,4.2,1,59.1589722451,M,U,48.05652974,81700.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
140,2315,1,55.0,4.65,6.75,1.6,2.4,4,59.1589722451,F,U,48.65219168,25700.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
141,2320,1,30.0,5.9,10.75,2.2,4.2,1,21.0,F,H,48.31399031,63400.0,41642.0,False,False,False,"[21, 51]","(20.935, 37.25]"
142,2321,1,125.0,6.65,11.25,2.4,4.4,3,66.0,M,U,66.80558761,217000.0,53513.4573612,False,False,True,"(59.159, 69]","(53.5, 69.75]"
143,2339,0,,5.0,10.0,2.0,4.2,1,37.0,U,U,48.78101516,97600.0,65037.0,False,False,False,"[21, 51]","(20.935, 37.25]"
144,2365,1,45.0,6.9,11.0,2.4,4.0,1,43.0,M,U,49.19118343,140800.0,71499.0,False,False,False,"[21, 51]","(37.25, 53.5]"
145,2379,1,50.0,6.15,10.5,2.4,4.0,3,49.0,M,H,50.86581764,159600.0,80468.0,False,False,False,"[21, 51]","(37.25, 53.5]"
146,2396,1,25.0,4.4,5.25,1.2,1.4,2,59.1589722451,U,U,48.1180765,58800.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
147,2408,1,50.0,4.65,9.5,1.6,3.6,2,34.0,F,H,54.19580314,450000.0,101793.0,False,False,False,"[21, 51]","(20.935, 37.25]"
148,2415,1,125.0,5.9,6.75,2.2,2.4,2,42.0,F,H,60.87249658,550100.0,82540.0,False,False,False,"[21, 51]","(37.25, 53.5]"
149,2431,0,,5.5,10.75,2.0,4.0,4,83.0,M,H,49.70622668,33500.0,31845.0,False,False,False,"(69, 86]","(69.75, 86]"
150,2444,0,,6.75,9.5,2.0,2.8,3,82.0,M,U,49.16705837,74400.0,42099.0,False,False,False,"(69, 86]","(69.75, 86]"
151,2464,1,35.0,6.65,11.0,2.4,4.4,2,56.0,M,H,47.71573294,48100.0,34000.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
152,2490,1,15.0,4.4,9.25,1.6,3.6,1,68.0,M,U,48.9188421,62000.0,41952.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
153,2491,0,,6.25,11.25,2.2,2.2,4,59.1589722451,F,U,53.12665214,67800.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
154,2499,1,25.0,6.4,11.0,2.4,2.2,1,59.1589722451,F,H,52.63523654,81800.0,55667.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
155,2510,0,,5.5,6.75,1.6,2.0,1,68.0,M,H,55.48971687,95900.0,43729.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
156,2512,1,125.0,6.4,7.25,2.2,2.4,2,71.0,M,H,59.53862409,125000.0,51059.0,False,False,False,"(69, 86]","(69.75, 86]"
157,2519,1,50.0,6.9,11.0,2.4,4.0,2,59.1589722451,M,H,48.77463628,72000.0,58224.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
158,2525,0,,6.25,7.5,1.8,2.2,3,41.0,F,H,49.80706488,160100.0,75004.0,False,False,False,"[21, 51]","(37.25, 53.5]"
159,2567,0,,6.0,7.25,2.0,2.4,2,56.0,F,U,55.83661884,112500.0,43021.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
160,2583,1,25.0,6.4,11.0,2.2,3.8,1,75.0,F,H,49.56977006,108500.0,67061.0,False,False,False,"(69, 86]","(69.75, 86]"
161,2586,1,100.0,6.4,7.0,2.0,2.2,2,55.0,M,H,56.57615352,91600.0,45932.0,False,False,False,"(51, 59.159]","(53.5, 69.75]"
162,2596,1,140.0,5.9,7.25,1.8,2.2,2,59.1589722451,M,H,55.99073755,50500.0,41506.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
163,2609,0,,5.25,9.0,1.8,3.0,2,66.0,M,H,49.248045,60000.0,43073.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
164,2615,0,,6.25,11.75,2.0,4.2,2,59.1589722451,F,H,58.71427955,90500.0,75224.0,True,False,False,"(51, 59.159]","(53.5, 69.75]"
165,2623,0,,6.5,8.75,2.2,3.2,3,69.0,F,H,59.23888105,39400.0,26733.0,False,False,False,"(59.159, 69]","(53.5, 69.75]"
166,2640,0,,5.75,7.5,2.0,2.6,4,59.1589722451,F,U,49.17975954,140500.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
167,2643,1,125.0,7.4,11.0,2.4,4.0,2,58.0,F,U,56.19436017,212300.0,53513.4573612,False,False,True,"(51, 59.159]","(53.5, 69.75]"
168,2678,0,,6.0,10.5,2.0,4.2,1,73.0,F,U,47.16886111,51400.0,35122.0,False,False,False,"(69, 86]","(69.75, 86]"
169,2687,0,,6.25,11.25,1.8,3.8,1,72.0,F,H,48.50098478,62900.0,46449.0,False,False,False,"(69, 86]","(69.75, 86]"
170,2691,1,80.0,7.15,9.75,1.8,2.8,3,59.1589722451,U,U,48.42001572,83400.0,53513.4573612,True,False,True,"(51, 59.159]","(53.5, 69.75]"
171,2693,0,,7.0,11.75,2.2,4.2,3,80.0,M,U,48.77138699,54400.0,50754.0,False,False,False,"(69, 86]","(69.75, 86]"
172,2757,1,50.0,6.4,11.25,2.4,4.2,2,35.0,F,U,48.99325165,77000.0,31563.0,False,False,False,"[21, 51]","(20.935, 37.25]"
