dis_name,rate
海淀区恩济庄18号院,.103190673494639
海淀区天秀安和园,.0954961161086273
海淀区海淀南路24号,.167954253979469
海淀区北影住宅小区,.0568288759999922
海淀区美丽园小区,.103929092585559
海淀区太月园小区,.106516751829023
海淀区华清嘉园,.104455429669957
海淀区五院航天城生活区,.0997968874296416
海淀区武警总部蓝靛厂小区,.140167978769484
海淀区中科院研究生院中关村园区学生公寓,.163173545862632
海淀区美欣家园,.155724916128493
海淀区中海紫金苑,.174661404402411
海淀区中国国际关系研究院家属小区,.071818486709941
海淀区百朗园,.132356251362862
海淀区紫竹花园,.0985024187723612
丰台区望园西里小区,.0882819226632823
丰台区杏林小区,.0888085342362036
丰台区芳城东里小区,.0379090636839086
丰台区康泽园小区,.136601877648699
丰台区芳古园二区,.101616385570681
丰台区新华街五里居住小区,.0348381331394831
丰台区方庄芳城园一区,.188358147719195
丰台区南苑镇西宏苑小区,.105091321628259
丰台区太平桥小区西里,.0589033462214485
丰台区晓月苑小区一里,.157945880666738
丰台区角门东里小区,.0960138288957705
丰台区京铁家园,.096388435486501
石景山区八角中里小区,.0557751816721212
石景山区海特花园,.11575938377472
石景山区杨庄中区（南区）,.176777751727208
石景山区首钢黄南苑居民小区,.147655942499381
石景山区鲁谷村小区南区,.0844444970612324
石景山区鲁谷五芳园小区,.091548006879692
石景山区玉兴园小区,.077433260335582
石景山区首钢金顶街三区居民小区,.0738761486691312
门头沟区承泽苑小区,.0744654070385869
门头沟区葡东小区,.0818345011307968
昌平区新康园小区,.243743313954021
昌平区回龙观龙禧苑云趣园,.145664927808927
昌平县龙华园小区,.0417591792412916
昌平区东关南里小区,.140829908772086
昌平区天慧园小区,.150406317632672
昌平区龙泽苑,.137960480363074
昌平区润杰石油大学生公寓,.122282082235025
通州区中仓小区,.116835992619284
通州区八里桥小区,.108839251174168
通州区天赐良园小区,.0806392563174708
通州区翠屏北里西区,.0839201335175675
通州区京贸国际公寓,.0608957711883596
大兴区义和庄北里小区,.12117618188235
大兴区清源西里小区,.139760550300678
大兴县宏福园小区,.11433216364374
大兴区菊源里小区,.110706742475985
怀柔区南华园一区,.148249149017572
怀柔县龙湖花园小区,.120356495601863
怀柔县梅苑花园小区,.0963349075927675
怀柔县南华园四区,.116468198892045
怀柔县馥郁苑小区,.0862609318332205
怀柔区迎宾北路12号院,.113126171341572
顺义区华中园别墅,.112125588418389
顺义区裕龙花园,.112064182819318
顺义区双裕小区,.067941006394283
顺义区西辛小区,.0971851531936056
顺义区中央电视台影视培训中心,.104725056936064
顺义区裕祥花园,.178573490575683
房山区桥梁厂生活区,.126082658637347
房山区原子能科学研究院生活区,.142602087803119
房山区碧桂园温泉小区,.0295403779715148
房山区北京输油公司生活小区,.159211380722781
房山区西厢苑小区,.135551778671775
延庆县川北小区,.161761043115152
密云县沿湖小区,.121524417121501
密云县东菜园小区,.104666130559259
密云县花园小区,.137225352320457
开发区鹿鸣苑,.0731188051373797
开发区星岛嘉园,.0483907640667154
