ID,Suc_flag,ARPU,PromCnt12,PromCnt36,PromCntMsg12,PromCntMsg36,Class,Gender,Age,HomeOwner,AvgARPU,AvgHomeValue,AvgIncome,Age_empflag,AvgHomeValue_empflag,AvgIncome_empflag
14621,0,,3,8,1,3,2,U,53,U,64,76500,60721,FALSE,FALSE,FALSE
14798,1,50,6,10,1,3,2,M,53,U,49,62000,41952,FALSE,FALSE,FALSE
17772,1,50,3,5,1,1,3,M,53,U,49,70900,53513.45736,FALSE,FALSE,TRUE
18770,0,,3,8,1,3,2,F,53,U,48,55000,19203,FALSE,FALSE,FALSE
21782,0,,2,5,1,2,1,F,53,U,51,168800,53513.45736,FALSE,FALSE,TRUE
21843,0,,3,9,1,3,4,F,53,U,53,67800,53513.45736,FALSE,FALSE,TRUE
22253,0,,3,8,1,3,1,F,53,U,50,102400,42324,FALSE,FALSE,FALSE
23537,0,,3,8,1,3,1,F,53,H,49,68400,62414,FALSE,FALSE,FALSE
26612,0,,3,4,1,1,4,F,53,H,53,81800,55667,FALSE,FALSE,FALSE
28461,0,,3,8,1,1,1,M,53,H,67,200300,105000,FALSE,FALSE,FALSE
30028,1,5,4,8,1,1,2,M,53,U,52,53500,53513.45736,FALSE,FALSE,TRUE
33542,0,,3,9,1,3,1,M,53,H,55,95900,43729,FALSE,FALSE,FALSE
35355,1,25,4,8,1,3,1,F,53,U,49,26600,39250,FALSE,FALSE,FALSE
35751,1,25,3,8,1,3,1,M,53,H,60,125000,51059,FALSE,FALSE,FALSE
35935,1,105,3,7,1,3,3,F,53,H,51,122100,62793,FALSE,FALSE,FALSE
36809,1,25,2,5,1,1,1,M,53,H,49,72000,58224,FALSE,FALSE,FALSE
36837,0,,3,8,1,1,3,F,53,H,50,160100,75004,FALSE,FALSE,FALSE
37047,0,,3,7,1,1,1,F,53,H,49,34000,36236,FALSE,FALSE,FALSE
37202,1,125,3,8,1,3,3,F,53,U,56,112500,43021,FALSE,FALSE,FALSE
37221,1,30,3,7,1,2,1,F,53,H,49,78900,37480,FALSE,FALSE,FALSE
37729,0,,3,7,1,3,1,F,53,H,60,257300,101339,FALSE,FALSE,FALSE
38327,1,55,4,9,1,3,3,F,53,U,49,182100,53513.45736,FALSE,FALSE,TRUE
40058,1,125,3,8,1,3,3,M,53,H,60,71100,37481,FALSE,FALSE,FALSE
40520,1,50,4,8,1,3,2,F,53,H,52,286500,69298,FALSE,FALSE,FALSE
40757,0,,3,6,1,2,4,F,53,H,50,108500,67061,FALSE,FALSE,FALSE
41575,0,,4,8,1,3,3,M,53,H,58,180100,40805,FALSE,FALSE,FALSE
41839,0,,2,7,1,3,1,F,53,H,54,74200,59522,FALSE,FALSE,FALSE
44009,1,100,4,8,1,3,2,F,53,H,51,171400,50221,FALSE,FALSE,FALSE
44121,0,,3,7,1,2,3,M,53,H,57,91600,45932,FALSE,FALSE,FALSE
45442,0,,3,8,1,3,2,M,53,H,56,50500,41506,FALSE,FALSE,FALSE
46435,0,,3,6,1,2,1,M,53,H,49,60000,43073,FALSE,FALSE,FALSE
50892,0,,3,4,1,1,2,F,53,H,59,90500,75224,FALSE,FALSE,FALSE
52461,0,,3,8,1,3,1,F,53,H,59,39400,26733,FALSE,FALSE,FALSE
54214,0,,3,4,1,1,4,F,53,U,49,225700,53513.45736,FALSE,FALSE,TRUE
55271,0,,4,9,1,3,4,M,53,H,49,140700,72702,FALSE,FALSE,FALSE
58318,0,,4,9,1,3,3,F,53,U,49,140500,53513.45736,FALSE,FALSE,TRUE
59697,0,,2,5,0,1,3,F,53,U,56,212300,53513.45736,FALSE,FALSE,TRUE
60005,0,,3,9,1,3,1,F,53,U,58,40700,53513.45736,FALSE,FALSE,TRUE
62393,0,,3,8,1,3,3,F,53,U,47,51400,35122,FALSE,FALSE,FALSE
63147,0,,4,9,1,3,3,F,53,H,49,62900,46449,FALSE,FALSE,FALSE
66731,0,,2,7,1,3,3,F,53,H,51,205100,53218,FALSE,FALSE,FALSE
66757,1,20,3,8,1,3,1,U,53,U,48,83400,53513.45736,FALSE,FALSE,TRUE
67449,0,,2,5,1,2,1,F,53,H,59,121500,44440,FALSE,FALSE,FALSE
69455,0,,2,5,1,2,2,F,53,H,49,24000,45515,FALSE,FALSE,FALSE
69552,0,,3,8,1,1,2,F,53,U,50,225000,53513.45736,FALSE,FALSE,TRUE
70493,1,125,3,8,1,3,3,M,53,U,59,61300,16921,FALSE,FALSE,FALSE
70645,0,,3,8,1,3,2,M,53,U,54,58000,53929,FALSE,FALSE,FALSE
70803,1,20,4,8,1,3,1,F,53,H,52,156800,41505,FALSE,FALSE,FALSE
71523,0,,3,9,1,3,4,F,53,H,50,122700,37446,FALSE,FALSE,FALSE
71744,1,180,4,8,1,3,1,F,53,U,49,34800,53513.45736,FALSE,FALSE,TRUE
72757,1,105,3,8,1,3,3,M,53,H,55,86000,48783,FALSE,FALSE,FALSE
72851,1,175,4,9,1,3,4,M,53,U,49,54400,50754,FALSE,FALSE,FALSE
73304,0,,3,8,1,3,1,F,53,H,49,38800,41000,FALSE,FALSE,FALSE
73400,0,,4,8,1,3,2,F,53,U,49,77000,31563,FALSE,FALSE,FALSE
74140,0,,3,8,1,3,3,F,53,H,50,243200,42637,FALSE,FALSE,FALSE
74615,1,45,3,8,1,3,1,F,53,U,49,52800,38578,FALSE,FALSE,FALSE
75247,0,,3,8,1,3,4,M,53,H,55,162900,64459,FALSE,FALSE,FALSE
75609,1,50,3,7,1,3,1,M,53,H,49,64600,40909,FALSE,FALSE,FALSE
76013,0,,3,8,1,1,1,M,53,H,50,68200,45909,FALSE,FALSE,FALSE
76625,1,30,4,8,1,3,1,F,53,H,50,58600,54871,FALSE,FALSE,FALSE
77435,1,50,4,8,1,3,1,F,53,U,49,107300,53513.45736,FALSE,FALSE,TRUE
78831,1,15,4,10,1,3,4,F,53,H,49,69500,36415,FALSE,FALSE,FALSE
79085,0,,3,8,1,3,1,F,53,H,50,214000,100300,FALSE,FALSE,FALSE
79602,1,75,4,9,1,3,3,F,53,H,49,38500,37125,FALSE,FALSE,FALSE
80227,0,,4,9,1,3,4,F,53,H,48,26600,29327,FALSE,FALSE,FALSE
80335,1,25,3,8,1,3,1,M,53,H,49,113300,42061,FALSE,FALSE,FALSE
80378,1,25,3,7,1,3,1,F,53,H,50,121900,54028,FALSE,FALSE,FALSE
81045,0,,4,9,1,3,4,F,53,H,48,44700,42648,FALSE,FALSE,FALSE
81270,0,,3,8,1,3,1,F,53,U,48,68200,53513.45736,FALSE,FALSE,TRUE
82518,1,210,4,9,1,3,3,M,53,H,50,141600,49306,FALSE,FALSE,FALSE
82580,1,25,3,8,1,3,1,M,53,H,50,82600,38166,FALSE,FALSE,FALSE
83094,1,100,4,7,1,1,4,M,53,U,50,81700,57426,FALSE,FALSE,FALSE
83616,0,,3,7,1,1,2,F,53,U,47,47600,53513.45736,FALSE,FALSE,TRUE
84097,1,125,3,4,1,1,2,F,53,U,50,116100,53513.45736,FALSE,FALSE,TRUE
84574,0,,3,8,1,2,1,M,53,U,49,143700,53513.45736,FALSE,FALSE,TRUE
84610,1,20,3,7,1,3,1,F,53,H,53,352800,92525,FALSE,FALSE,FALSE
86000,1,50,3,8,1,3,3,F,53,U,50,160100,53513.45736,FALSE,FALSE,TRUE
86018,0,,3,7,1,2,1,M,53,H,55,581700,72750,FALSE,FALSE,FALSE
86042,0,,2,5,1,3,4,F,53,H,48,48300,35567,FALSE,FALSE,FALSE
86387,1,50,3,6,1,2,3,M,53,U,49,88200,65650,FALSE,FALSE,FALSE
86478,0,,2,4,1,1,4,F,53,H,48,20800,35250,FALSE,FALSE,FALSE
86578,1,75,3,7,1,2,1,F,53,H,60,160900,89773,FALSE,FALSE,FALSE
88116,0,,3,7,1,3,1,F,53,H,50,118100,62385,FALSE,FALSE,FALSE
89716,0,,3,9,1,1,3,F,53,U,51,113100,53513.45736,FALSE,FALSE,TRUE
92183,1,25,4,9,1,3,1,M,53,U,49,134800,92295,FALSE,FALSE,FALSE
92318,0,,2,6,1,1,2,M,53,U,49,143500,53513.45736,FALSE,FALSE,TRUE
92689,0,,3,8,1,3,1,M,53,H,65,110200,76187,FALSE,FALSE,FALSE
93391,0,,3,8,1,3,1,M,53,H,50,68900,36042,FALSE,FALSE,FALSE
93636,0,,3,8,1,3,4,M,53,H,50,69200,53046,FALSE,FALSE,FALSE
94214,0,,4,9,1,3,2,M,53,H,52,71700,48045,FALSE,FALSE,FALSE
94677,0,,2,6,1,3,3,M,53,U,48,133000,53513.45736,FALSE,FALSE,TRUE
95755,0,,3,7,1,1,3,F,53,H,50,91700,80104,FALSE,FALSE,FALSE
95800,1,100,3,8,1,3,3,F,53,U,50,37600,45397,FALSE,FALSE,FALSE
97263,0,,2,6,1,2,1,M,53,U,50,74500,48020,FALSE,FALSE,FALSE
98382,0,,3,8,1,3,1,M,53,U,71,113800,53513.45736,FALSE,FALSE,TRUE
98470,1,70,2,5,1,2,2,U,53,U,52,275000,53513.45736,FALSE,FALSE,TRUE
99044,0,,3,8,1,3,4,F,53,H,50,88900,61176,FALSE,FALSE,FALSE
99544,0,,3,8,1,3,1,F,53,U,60,275300,53513.45736,FALSE,FALSE,TRUE
101842,0,,3,6,1,2,2,M,53,H,50,73000,43156,FALSE,FALSE,FALSE
102434,1,50,3,8,1,1,1,M,53,H,49,102400,47043,FALSE,FALSE,FALSE
102780,1,80,4,8,1,3,3,F,53,U,48,79200,53513.45736,FALSE,FALSE,TRUE
104323,0,,3,6,1,1,3,M,53,H,51,180500,104341,FALSE,FALSE,FALSE
105641,0,,3,8,1,3,2,M,53,H,49,41200,42813,FALSE,FALSE,FALSE
109070,0,,3,8,1,3,1,F,53,H,57,160200,75543,FALSE,FALSE,FALSE
109758,0,,3,8,1,1,2,F,53,U,65,150700,48772,FALSE,FALSE,FALSE
110151,0,,4,9,1,1,3,M,53,H,48,29200,40375,FALSE,FALSE,FALSE
110871,1,25,2,5,1,1,1,F,53,H,52,193000,59239,FALSE,FALSE,FALSE
112327,0,,3,7,1,3,2,M,53,H,60,85100,61132,FALSE,FALSE,FALSE
113203,0,,3,6,1,2,2,F,53,U,50,123200,53513.45736,FALSE,FALSE,TRUE
113594,0,,2,5,1,2,2,F,53,H,54,176500,66172,FALSE,FALSE,FALSE
117358,0,,3,8,1,3,2,M,53,U,50,85600,53513.45736,FALSE,FALSE,TRUE
119843,1,100,3,8,1,3,4,M,53,U,49,96500,42341,FALSE,FALSE,FALSE
121335,0,,2,7,1,1,3,F,53,H,56,326000,47807,FALSE,FALSE,FALSE
125077,0,,3,7,1,1,3,M,53,U,77,586300,53513.45736,FALSE,FALSE,TRUE
125181,1,40,4,7,1,2,2,F,53,H,51,118400,49566,FALSE,FALSE,FALSE
127856,0,,2,6,1,2,2,F,53,H,49,59600,71303,FALSE,FALSE,FALSE
128618,0,,2,7,1,1,2,F,53,U,50,142900,53513.45736,FALSE,FALSE,TRUE
129274,0,,3,4,1,1,2,F,53,U,55,216700,64579,FALSE,FALSE,FALSE
130460,0,,4,6,1,2,2,F,53,H,56,597000,174183,FALSE,FALSE,FALSE
130507,0,,3,8,1,3,2,M,53,H,53,452600,59553,FALSE,FALSE,FALSE
131600,1,100,3,8,1,1,2,M,53,H,61,100200,42375,FALSE,FALSE,FALSE
132239,0,,3,7,1,3,2,M,53,U,56,345300,53513.45736,FALSE,FALSE,TRUE
132394,1,55,4,8,1,3,1,M,53,H,50,67500,45897,FALSE,FALSE,FALSE
133360,0,,3,8,1,3,4,F,53,H,49,103300,44032,FALSE,FALSE,FALSE
135581,0,,4,8,1,3,2,U,53,U,50,113000,53513.45736,FALSE,FALSE,TRUE
136349,0,,3,7,1,3,1,F,53,H,50,87100,58689,FALSE,FALSE,FALSE
136820,0,,3,9,1,3,2,M,53,H,51,166800,64695,FALSE,FALSE,FALSE
137276,1,55,3,8,1,3,3,M,53,H,51,198200,91864,FALSE,FALSE,FALSE
137551,0,,3,8,1,1,2,M,53,H,59,40600,40054,FALSE,FALSE,FALSE
137592,1,125,4,8,1,3,2,F,53,H,50,121700,67326,FALSE,FALSE,FALSE
138289,0,,3,7,1,1,1,M,53,H,55,112179.2028,53513.45736,FALSE,TRUE,TRUE
140456,1,50,3,8,1,3,1,M,53,H,52,226200,61230,FALSE,FALSE,FALSE
140733,0,,4,8,1,3,3,M,53,U,50,41700,53513.45736,FALSE,FALSE,TRUE
141493,1,50,4,8,1,3,1,F,53,U,49,62900,45337,FALSE,FALSE,FALSE
144076,1,250,4,8,1,3,3,F,53,H,50,87800,50160,FALSE,FALSE,FALSE
145905,1,100,3,7,1,3,2,M,53,U,50,61300,46044,FALSE,FALSE,FALSE
146106,0,,3,8,1,3,4,M,53,H,49,86000,51338,FALSE,FALSE,FALSE
146940,1,75,3,7,1,2,2,F,53,U,50,75700,48866,FALSE,FALSE,FALSE
148546,1,30,3,8,1,3,1,M,53,H,49,93000,62681,FALSE,FALSE,FALSE
148636,1,50,4,9,1,3,3,F,53,H,50,152800,51352,FALSE,FALSE,FALSE
149474,0,,3,8,1,3,3,M,53,H,65,85000,90238,FALSE,FALSE,FALSE
151195,1,50,2,6,1,2,2,M,53,U,58,74500,53513.45736,FALSE,FALSE,TRUE
153185,0,,3,7,1,3,3,F,53,H,49,116200,41923,FALSE,FALSE,FALSE
154253,0,,4,9,1,3,1,M,53,H,52,151900,53225,FALSE,FALSE,FALSE
155381,0,,3,7,1,1,1,M,53,U,50,68800,77288,FALSE,FALSE,FALSE
158389,1,60,4,8,1,3,1,M,53,U,50,59500,51954,FALSE,FALSE,FALSE
158567,1,30,3,7,1,3,1,M,53,H,49,103200,38463,FALSE,FALSE,FALSE
160394,1,40,4,9,1,3,1,M,53,H,60,346100,57132,FALSE,FALSE,FALSE
161514,1,25,4,8,1,1,1,F,53,U,52,113300,61522,FALSE,FALSE,FALSE
161741,0,,3,7,1,2,2,F,53,H,49,110400,59813,FALSE,FALSE,FALSE
162945,1,25,4,9,1,3,1,F,53,U,50,70000,44295,FALSE,FALSE,FALSE
163057,0,,3,8,1,3,3,F,53,H,67,267000,71604,FALSE,FALSE,FALSE
164945,0,,3,8,1,1,2,M,53,H,49,69400,49394,FALSE,FALSE,FALSE
164948,0,,3,9,1,3,3,M,53,H,52,140700,94179,FALSE,FALSE,FALSE
165978,0,,2,6,1,1,3,F,53,U,47,136800,53513.45736,FALSE,FALSE,TRUE
166496,0,,4,9,1,3,3,M,53,U,52,34200,41875,FALSE,FALSE,FALSE
167202,1,75,3,7,1,2,2,F,53,U,52,355600,71746,FALSE,FALSE,FALSE
167631,1,75,3,4,1,1,4,M,53,H,56,73200,52406,FALSE,FALSE,FALSE
167873,0,,3,9,1,3,2,M,53,H,51,60500,44931,FALSE,FALSE,FALSE
168711,0,,3,9,1,3,2,M,53,H,54,393700,87880,FALSE,FALSE,FALSE
169152,1,85,3,7,1,1,3,F,53,U,49,54300,40076,FALSE,FALSE,FALSE
170057,0,,3,8,1,3,2,F,53,U,49,87100,56210,FALSE,FALSE,FALSE
171581,1,25,4,5,1,2,4,M,53,H,57,85200,55882,FALSE,FALSE,FALSE
172854,0,,4,9,1,1,2,M,53,U,47,64900,53513.45736,FALSE,FALSE,TRUE
173192,1,50,3,8,1,3,2,M,53,U,57,69400,31126,FALSE,FALSE,FALSE
173897,0,,3,9,1,3,3,F,53,H,50,134500,42275,FALSE,FALSE,FALSE
174956,1,50,3,6,1,2,2,M,53,H,57,112600,53513.45736,FALSE,FALSE,TRUE
175730,0,,2,6,1,3,4,M,53,U,48,64200,53513.45736,FALSE,FALSE,TRUE
176252,1,75,4,9,1,3,3,M,53,H,49,83900,63444,FALSE,FALSE,FALSE
177420,0,,3,8,1,3,1,F,53,U,49,95100,53513.45736,FALSE,FALSE,TRUE
178742,1,50,4,9,1,1,3,F,53,H,60,66800,52330,FALSE,FALSE,FALSE
179014,1,115,4,8,1,3,4,M,53,H,57,65500,48104,FALSE,FALSE,FALSE
181019,0,,3,7,1,3,4,F,53,H,50,82700,40788,FALSE,FALSE,FALSE
183403,0,,3,9,1,1,3,F,53,H,48,19800,27500,FALSE,FALSE,FALSE
183673,1,50,4,9,1,3,2,U,53,U,50,46300,47321,FALSE,FALSE,FALSE
183889,0,,3,8,1,3,3,F,53,U,57,60500,53513.45736,FALSE,FALSE,TRUE
183898,1,15,3,7,1,3,1,F,53,H,49,92300,72554,FALSE,FALSE,FALSE
185053,0,,4,10,1,1,3,M,53,H,49,100600,50524,FALSE,FALSE,FALSE
185197,1,105,4,8,1,3,2,M,53,H,50,56400,55168,FALSE,FALSE,FALSE
186130,0,,6,11,2,4,3,M,53,H,49,87800,42155,FALSE,FALSE,FALSE
186212,1,35,5,10,2,4,2,M,53,U,48,97000,48197,FALSE,FALSE,FALSE
186251,1,85,6,10,2,3,4,F,53,H,57,86300,63302,FALSE,FALSE,FALSE
186380,0,,4,8,1,3,1,F,53,H,49,177800,42955,FALSE,FALSE,FALSE
186804,0,,4,8,1,3,1,M,53,U,48,81700,53513.45736,FALSE,FALSE,TRUE
189266,0,,3,8,1,1,1,F,53,U,49,25700,53513.45736,FALSE,FALSE,TRUE
189916,1,25,4,9,1,1,2,F,53,H,48,63400,41642,FALSE,FALSE,FALSE
159,1,60,8,13,2,4,2,M,52,H,48,40400,35513,FALSE,FALSE,FALSE
458,0,,4,9,1,4,3,M,52,U,50,71000,35501,FALSE,FALSE,FALSE
511,1,60,6,10,2,3,3,M,52,H,57,123500,62058,FALSE,FALSE,FALSE
591,1,125,7,12,2,4,3,U,52,U,47,37400,53513.45736,FALSE,FALSE,TRUE
637,1,125,7,11,2,4,4,F,52,U,48,30100,35500,FALSE,FALSE,FALSE
675,1,75,5,9,2,3,2,M,52,U,49,111000,56722,FALSE,FALSE,FALSE
1549,1,250,4,7,1,3,3,M,52,H,59,130700,61523,FALSE,FALSE,FALSE
1920,1,50,7,11,2,4,1,F,52,H,62,259600,79646,FALSE,FALSE,FALSE
1928,0,,3,8,1,3,1,F,52,H,57,74900,47713,FALSE,FALSE,FALSE
2431,0,,6,11,2,4,4,M,52,U,49,59900,44390,FALSE,FALSE,FALSE
2444,0,,7,10,2,3,3,M,52,H,62,164100,61523,FALSE,FALSE,FALSE
2693,0,,7,12,2,4,3,F,52,U,51,277500,53513.45736,FALSE,FALSE,TRUE
2889,1,15,6,8,2,3,1,F,52,H,50,102400,57666,FALSE,FALSE,FALSE
3063,0,,8,13,1,3,2,M,52,H,52,295300,64712,FALSE,FALSE,FALSE
3252,1,100,7,12,1,3,3,M,52,H,56,147000,49514,FALSE,FALSE,FALSE
3553,1,100,7,12,2,3,1,F,52,U,49,49700,53513.45736,FALSE,FALSE,TRUE
3875,0,,5,10,2,4,2,F,52,H,52,149000,69171,FALSE,FALSE,FALSE
3891,1,125,8,12,1,3,2,F,52,U,48,39700,53513.45736,FALSE,FALSE,TRUE
4187,1,125,9,13,2,3,4,F,52,U,50,55300,53513.45736,FALSE,FALSE,TRUE
4288,0,,7,11,1,3,1,M,52,U,69,80100,53513.45736,FALSE,FALSE,TRUE
4522,1,100,4,8,1,2,1,F,52,U,50,80100,53513.45736,FALSE,FALSE,TRUE
4588,1,75,10,15,2,4,4,M,52,H,50,86700,75533,FALSE,FALSE,FALSE
4590,0,,8,13,1,3,4,M,52,H,51,155500,56614,FALSE,FALSE,FALSE
4605,0,,4,10,1,1,3,M,52,H,50,87300,78595,FALSE,FALSE,FALSE
4732,0,,6,11,1,3,1,M,52,U,70,69400,53513.45736,FALSE,FALSE,TRUE
4739,0,,4,9,1,3,3,F,52,H,57,43600,42565,FALSE,FALSE,FALSE
5074,1,155,7,11,1,3,2,M,52,H,50,71300,48640,FALSE,FALSE,FALSE
5496,1,25,4,7,1,1,3,M,52,H,54,94300,50984,FALSE,FALSE,FALSE
5681,0,,3,8,1,1,2,M,52,H,58,180000,46867,FALSE,FALSE,FALSE
5852,1,50,10,14,1,3,2,M,52,H,50,12800,56942,FALSE,FALSE,FALSE
5854,0,,8,13,1,3,1,M,52,U,56,41700,33164,FALSE,FALSE,FALSE
5881,1,60,7,12,1,3,4,M,52,H,53,381800,75799,FALSE,FALSE,FALSE
6006,1,500,8,13,1,3,4,F,52,H,52,58600,31314,FALSE,FALSE,FALSE
6273,0,,4,9,1,4,2,M,52,H,49,48900,45807,FALSE,FALSE,FALSE
6292,1,100,8,13,2,2,4,F,52,U,53,308100,53513.45736,FALSE,FALSE,TRUE
6510,0,,4,9,1,1,3,F,52,U,49,48100,41307,FALSE,FALSE,FALSE
6684,0,,5,7,1,2,2,F,52,U,56,184400,40656,FALSE,FALSE,FALSE
6789,1,50,6,10,1,3,3,M,52,H,54,374200,110085,FALSE,FALSE,FALSE
6932,1,50,9,14,2,4,2,F,52,U,54,344700,82828,FALSE,FALSE,FALSE
6971,0,,4,10,2,2,4,M,52,H,51,84400,46518,FALSE,FALSE,FALSE
7017,0,,4,8,1,3,1,F,52,U,49,50900,53513.45736,FALSE,FALSE,TRUE
7082,1,50,4,9,1,1,3,M,52,H,53,47500,44152,FALSE,FALSE,FALSE
7392,0,,4,8,1,3,3,F,52,H,50,65700,50546,FALSE,FALSE,FALSE
7451,1,110,4,9,1,3,4,M,52,H,60,108900,47008,FALSE,FALSE,FALSE
7485,0,,4,9,1,1,4,M,52,H,53,240600,60058,FALSE,FALSE,FALSE
7592,0,,8,12,1,3,2,F,52,H,50,187800,56053,FALSE,FALSE,FALSE
7947,1,55,12,17,3,5,2,F,52,H,50,122200,32645,FALSE,FALSE,FALSE
7991,0,,3,7,1,2,3,F,52,U,50,54300,48058,FALSE,FALSE,FALSE
8204,1,50,7,12,1,1,4,F,52,U,49,35000,37500,FALSE,FALSE,FALSE
8404,1,50,7,7,1,1,3,M,52,U,52,343100,53513.45736,FALSE,FALSE,TRUE
8436,0,,4,8,2,3,4,F,52,H,59,58100,50173,FALSE,FALSE,FALSE
8708,1,50,8,13,1,3,3,F,52,H,58,31000,28765,FALSE,FALSE,FALSE
8782,0,,9,14,2,3,3,M,52,H,52,324700,66882,FALSE,FALSE,FALSE
8792,1,55,5,10,1,3,1,F,52,H,61,264500,84986,FALSE,FALSE,FALSE
8989,1,160,7,12,2,4,3,M,52,H,49,193800,36726,FALSE,FALSE,FALSE
9053,1,100,5,10,2,4,4,U,52,U,50,117900,53513.45736,FALSE,FALSE,TRUE
9063,1,50,4,9,1,3,3,F,52,H,51,103900,58137,FALSE,FALSE,FALSE
9124,0,,4,9,1,3,4,M,52,H,51,121300,63587,FALSE,FALSE,FALSE
9218,0,,3,8,1,3,2,M,52,U,51,84000,53513.45736,FALSE,FALSE,TRUE
9348,1,50,4,9,1,3,3,M,52,H,50,29100,39562,FALSE,FALSE,FALSE
10018,0,,9,13,1,1,3,M,52,H,56,67100,57340,FALSE,FALSE,FALSE
10287,1,75,8,12,1,3,2,F,52,H,49,46900,40076,FALSE,FALSE,FALSE
10565,0,,7,12,1,3,1,M,52,U,55,112179.2028,53513.45736,FALSE,TRUE,TRUE
10719,1,95,8,12,2,3,3,M,52,H,48,36400,33431,FALSE,FALSE,FALSE
11003,0,,8,13,1,3,4,M,52,H,49,70500,43072,FALSE,FALSE,FALSE
11064,1,50,8,13,1,3,3,M,52,H,52,36400,42676,FALSE,FALSE,FALSE
11075,0,,8,13,1,3,4,F,52,H,49,101500,56392,FALSE,FALSE,FALSE
11245,0,,7,11,1,3,1,F,52,H,58,332700,73909,FALSE,FALSE,FALSE
11395,0,,6,10,1,3,4,F,52,U,66,66100,53513.45736,FALSE,FALSE,TRUE
11396,0,,3,7,1,2,2,M,52,U,54,333300,79008,FALSE,FALSE,FALSE
11511,0,,7,12,1,3,3,M,52,U,49,68600,53513.45736,FALSE,FALSE,TRUE
11620,0,,7,7,1,1,3,F,52,H,48,55500,42854,FALSE,FALSE,FALSE
11738,1,50,5,7,1,2,2,F,52,H,58,56600,41801,FALSE,FALSE,FALSE
11921,1,40,4,9,1,3,3,M,52,H,51,111700,60963,FALSE,FALSE,FALSE
12171,1,25,8,11,2,3,1,F,52,H,56,28300,45709,FALSE,FALSE,FALSE
12226,1,40,8,12,2,3,1,F,52,H,57,593100,155586,FALSE,FALSE,FALSE
12257,0,,4,8,1,3,1,M,52,H,50,143200,45864,FALSE,FALSE,FALSE
12420,0,,4,9,1,3,2,M,52,U,55,89500,63917,FALSE,FALSE,FALSE
12696,0,,11,15,1,3,1,F,52,U,57,52900,49240,FALSE,FALSE,FALSE
12779,1,50,6,11,1,3,2,U,52,H,61,222000,66798,FALSE,FALSE,FALSE
12783,0,,7,12,1,3,3,U,52,U,50,161800,84071,FALSE,FALSE,FALSE
