Zip Code,Adjusted Gross Income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Total prepared returns,Number of volunteer income tax assistance (VITA) prepared returns,Number of tax counseling for the elderly (TCE) prepared returns,"Number of volunteer prepared 
returns with
Earned Income Credit",Number of refund anticipation loan returns,Number of refund anticipation check returns,Number of elderly returns [3],Adjusted gross income (AGI) [4],Number of returns.1,Total Income Amount
98023,"$100,000 under $200,000",3670,450,3050,170,1690,9810,3100,0,0,0,0,0,220,1140,493625,3670,498276
98023,"$200,000 or more",800,60,720,0,510,2120,600,0,0,0,0,0,0,300,282367,800,287370
98024,"$1 under $25,000",600,490,70,40,200,590,90,20,0,20,0,0,40,140,6964,600,7083
98024,"$25,000 under $50,000",450,290,110,40,180,730,180,0,0,0,0,0,50,110,16225,450,16578
98024,"$50,000 under $75,000",320,150,140,40,160,620,160,0,0,0,0,0,20,120,19840,320,20108
98024,"$75,000 under $100,000",270,80,170,0,130,590,160,0,0,0,0,0,20,80,23482,270,24001
98024,"$100,000 under $200,000",500,70,420,30,250,1370,450,0,0,0,0,0,20,130,69814,500,70763
98024,"$200,000 or more",330,0,300,0,200,1010,380,0,0,0,0,0,0,70,139952,330,142589
98026,"$1 under $25,000",5110,4160,490,400,1710,5390,990,250,70,180,40,0,370,1120,61640,5110,63088
98026,"$25,000 under $50,000",4050,2590,830,530,1470,6540,1690,190,80,110,0,0,470,920,150456,4050,152747
98026,"$50,000 under $75,000",2870,1410,1080,330,1200,5380,1440,50,0,50,0,0,250,890,177387,2870,180057
98026,"$75,000 under $100,000",2120,660,1290,150,950,4640,1230,30,0,30,0,0,140,750,183854,2120,186014
98026,"$100,000 under $200,000",3730,530,3050,160,1720,9740,2960,20,0,20,0,0,170,1120,509212,3730,516063
98026,"$200,000 or more",1210,110,1070,0,780,3350,1070,0,0,0,0,0,0,400,464837,1210,474761
98027,"$1 under $25,000",2920,2460,250,180,930,2730,480,90,40,50,30,0,180,590,33289,2920,34221
98027,"$25,000 under $50,000",2230,1560,390,250,790,3340,760,50,30,20,0,0,240,490,82511,2230,84169
98027,"$50,000 under $75,000",1770,1020,550,170,720,3050,720,20,0,20,0,0,160,510,109760,1770,112076
98027,"$75,000 under $100,000",1350,560,670,100,570,2610,590,0,0,0,0,0,80,460,117675,1350,119426
98027,"$100,000 under $200,000",3330,610,2510,170,1450,8240,2400,0,0,0,0,0,120,1000,473951,3330,480753
98027,"$200,000 or more",2260,180,2010,60,1290,6800,2530,0,0,0,0,0,30,460,991367,2260,1006091
98028,"$1 under $25,000",2830,2340,290,160,880,2920,480,100,40,60,30,0,190,620,33206,2830,34097
98028,"$25,000 under $50,000",2040,1370,400,250,700,3330,900,60,30,30,0,0,210,420,75215,2040,76845
98028,"$50,000 under $75,000",1410,760,490,130,510,2500,600,30,0,30,0,0,110,420,86837,1410,88379
98028,"$75,000 under $100,000",1030,320,610,90,430,2290,650,0,0,0,0,0,60,320,90263,1030,91839
98028,"$100,000 under $200,000",2650,380,2140,120,1080,7230,2440,0,0,0,0,0,110,630,371379,2650,376536
98028,"$200,000 or more",1140,80,1030,20,610,3380,1200,0,0,0,0,0,20,250,437707,1140,443056
98029,"$1 under $25,000",2390,1980,250,130,730,2160,400,80,40,50,0,0,140,550,25610,2390,26447
98029,"$25,000 under $50,000",1620,1090,320,180,560,2550,630,0,0,0,0,0,140,410,60415,1620,61562
98029,"$50,000 under $75,000",1430,850,410,150,550,2440,590,30,0,30,0,0,120,430,89118,1430,90620
98029,"$75,000 under $100,000",1290,490,640,150,550,2740,810,0,0,0,0,0,90,360,112527,1290,114499
98029,"$100,000 under $200,000",3710,610,2830,240,1480,10250,3710,0,0,0,0,0,160,600,538245,3710,544425
98029,"$200,000 or more",2310,140,2100,60,1120,7490,3070,0,0,0,0,0,50,240,849526,2310,859138
98030,"$1 under $25,000",5930,4020,790,1070,2630,9120,3300,260,180,80,90,30,830,680,76763,5930,77944
98030,"$25,000 under $50,000",4830,2350,1260,1130,2180,10490,4420,190,150,50,50,30,730,570,175169,4830,176822
98030,"$50,000 under $75,000",2410,950,1060,340,1100,5670,2200,80,40,40,0,0,290,400,146819,2410,148057
98030,"$75,000 under $100,000",1460,420,900,110,650,3710,1350,0,0,0,0,0,120,330,126225,1460,127218
98030,"$100,000 under $200,000",1850,250,1510,90,850,5090,1720,0,0,0,0,0,130,440,246549,1850,248171
98030,"$200,000 or more",280,30,240,0,150,780,260,0,0,0,0,0,0,80,86141,280,86943
98031,"$1 under $25,000",6230,4350,770,1050,2600,8830,2960,240,170,70,80,30,830,830,79864,6230,81139
98031,"$25,000 under $50,000",5210,2650,1250,1220,2260,10500,4080,150,100,50,30,20,850,740,190261,5210,192332
98031,"$50,000 under $75,000",2970,1170,1310,450,1370,6710,2430,90,50,50,0,0,330,660,182078,2970,183717
98031,"$75,000 under $100,000",1900,480,1220,180,880,4900,1790,0,0,0,0,0,170,460,163842,1900,165213
98031,"$100,000 under $200,000",2810,320,2360,120,1210,7710,2550,0,0,0,0,0,160,690,376712,2810,379294
98031,"$200,000 or more",480,40,430,0,240,1340,430,0,0,0,0,0,0,120,161686,480,163740
98032,"$1 under $25,000",5580,3690,570,1240,2280,8800,3240,330,270,60,100,40,930,740,75419,5580,76344
98032,"$25,000 under $50,000",5280,2810,1070,1300,2140,10800,4480,200,170,30,30,40,960,650,193213,5280,194762
98032,"$50,000 under $75,000",2850,1330,1020,440,1220,6190,2320,90,60,40,0,0,390,510,173874,2850,175343
98032,"$75,000 under $100,000",1490,570,790,100,680,3400,1120,0,0,0,0,0,160,330,128266,1490,129290
98032,"$100,000 under $200,000",1670,330,1270,80,780,4210,1260,0,0,0,0,0,120,420,221926,1670,223883
98032,"$200,000 or more",370,50,300,0,270,990,310,0,0,0,0,0,0,100,155104,370,156629
98033,"$1 under $25,000",3700,3150,300,200,1290,3450,520,120,60,60,30,0,240,760,41349,3700,42738
98033,"$25,000 under $50,000",2780,2080,430,240,1000,3910,740,90,60,30,0,0,270,580,103564,2780,106121
98033,"$50,000 under $75,000",2290,1460,590,180,980,3610,730,30,0,30,0,0,180,630,141710,2290,145151
98033,"$75,000 under $100,000",1820,920,720,140,820,3210,670,0,0,0,0,0,120,590,158173,1820,161236
98033,"$100,000 under $200,000",4490,1380,2800,260,2050,9930,2650,0,0,0,0,0,150,1150,644166,4490,655797
98033,"$200,000 or more",4360,540,3650,140,2670,12290,4280,0,0,0,0,0,50,820,2478816,4360,2509036
98034,"$1 under $25,000",5950,4780,560,520,1800,6440,1270,230,130,100,70,0,490,1050,72093,5950,73829
98034,"$25,000 under $50,000",5310,3630,950,630,1740,8330,2110,150,80,70,0,0,650,960,196647,5310,199874
98034,"$50,000 under $75,000",3700,2150,1150,350,1340,6420,1570,20,0,20,0,0,380,860,228741,3700,231810
98034,"$75,000 under $100,000",2710,1040,1430,190,1030,5610,1470,30,0,30,0,0,190,680,235223,2710,238255
98034,"$100,000 under $200,000",5410,1140,4020,220,2050,13410,3980,0,0,0,0,0,300,1170,756968,5410,766228
98034,"$200,000 or more",2270,210,1990,60,1260,6520,2260,0,0,0,0,0,40,380,914248,2270,925450
98036,"$1 under $25,000",5420,4160,590,600,1960,6630,1670,280,120,160,60,40,500,1070,67829,5420,69048
98036,"$25,000 under $50,000",4620,2750,1000,780,1780,8330,2740,180,70,110,0,0,570,800,169539,4620,171849
98036,"$50,000 under $75,000",2750,1250,1130,320,1140,5650,1780,50,20,30,0,0,260,700,168709,2750,170697
98036,"$75,000 under $100,000",2020,610,1240,150,870,4670,1420,30,0,30,0,0,130,550,174768,2020,176513
98036,"$100,000 under $200,000",3500,480,2860,140,1460,9430,3080,0,0,0,0,0,200,780,473553,3500,478556
98036,"$200,000 or more",720,50,650,0,390,2130,760,0,0,0,0,0,0,150,227243,720,230626
98037,"$1 under $25,000",4240,3230,480,480,1470,5230,1290,230,100,130,50,0,400,780,53309,4240,54479
98037,"$25,000 under $50,000",3470,2050,750,580,1310,6190,1990,150,60,90,0,0,440,610,127411,3470,128892
98037,"$50,000 under $75,000",2060,930,850,240,840,4270,1360,50,0,50,0,0,210,470,126823,2060,128411
98037,"$75,000 under $100,000",1410,380,890,120,600,3380,1080,0,0,0,0,0,120,380,121839,1410,123145
98037,"$100,000 under $200,000",2100,250,1760,90,920,5940,2090,0,0,0,0,0,100,470,282899,2100,285368
98037,"$200,000 or more",380,30,330,0,210,1110,400,0,0,0,0,0,0,90,126711,380,127793
98038,"$1 under $25,000",3390,2810,290,260,960,3100,620,90,40,50,0,0,230,600,38061,3390,38777
98038,"$25,000 under $50,000",2320,1420,510,350,820,3850,1050,20,0,20,0,0,310,530,85985,2320,87393
98038,"$50,000 under $75,000",1990,860,810,280,800,4140,1350,30,0,30,0,0,210,540,124490,1990,126014
98038,"$75,000 under $100,000",2020,520,1270,200,780,5120,1840,0,0,0,0,0,220,460,175635,2020,177359
98038,"$100,000 under $200,000",4430,360,3850,190,1780,13600,5320,0,0,0,0,0,300,780,615378,4430,620941
98038,"$200,000 or more",1240,70,1140,20,690,3920,1540,0,0,0,0,0,30,210,474884,1240,481043
98039,"$1 under $25,000",340,290,30,20,190,220,30,0,0,0,0,0,30,40,3106,340,3178
98039,"$25,000 under $50,000",120,90,20,0,50,170,30,0,0,0,0,0,0,30,4503,120,4570
98039,"$50,000 under $75,000",130,80,30,0,80,200,40,0,0,0,0,0,0,50,7708,130,7877
98039,"$75,000 under $100,000",60,30,30,0,40,120,30,0,0,0,0,0,0,30,5597,60,5737
98039,"$100,000 under $200,000",240,70,150,30,160,540,170,0,0,0,0,0,0,110,33587,240,34447
98039,"$200,000 or more",640,60,560,0,530,1980,790,0,0,0,0,0,0,210,1004020,640,1018730
98040,"$1 under $25,000",2570,2280,180,70,1110,1820,200,70,30,40,0,0,90,480,24611,2570,25680
98040,"$25,000 under $50,000",1340,970,210,130,560,1860,350,0,0,0,0,0,100,400,49753,1340,51270
98040,"$50,000 under $75,000",1160,740,310,90,570,1820,370,0,0,0,0,0,50,450,71444,1160,73289
98040,"$75,000 under $100,000",940,460,380,80,480,1660,350,0,0,0,0,0,40,420,81698,940,83623
98040,"$100,000 under $200,000",2460,650,1610,170,1350,5710,1650,0,0,0,0,0,60,1070,354475,2460,362502
98040,"$200,000 or more",3810,300,3350,130,2740,11780,4630,0,0,0,0,0,20,1210,3150133,3810,3195945
98042,"$1 under $25,000",5840,4630,570,560,1970,6390,1510,190,70,110,30,20,600,960,69897,5840,71011
98042,"$25,000 under $50,000",4340,2460,990,810,1660,8060,2760,100,40,60,0,0,640,820,160599,4340,162365
98042,"$50,000 under $75,000",3280,1310,1480,430,1350,7220,2470,60,30,40,0,0,390,820,204220,3280,206593
98042,"$75,000 under $100,000",2630,600,1810,190,1170,6600,2160,30,0,30,0,0,250,700,229595,2630,231703
98042,"$100,000 under $200,000",4760,480,4060,190,2060,13240,4420,0,0,0,0,0,270,1220,647653,4760,652614
98042,"$200,000 or more",1140,70,1040,30,650,3140,970,0,0,0,0,0,0,330,411909,1140,416861
98043,"$1 under $25,000",3190,2470,310,350,1010,3910,860,180,70,110,40,0,340,620,41688,3190,42492
98043,"$25,000 under $50,000",3180,2060,570,490,1050,5130,1400,100,40,60,0,0,430,580,117680,3180,119091
98043,"$50,000 under $75,000",1980,1000,720,220,750,3840,1140,60,20,40,0,0,190,430,121244,1980,122423
98043,"$75,000 under $100,000",1280,400,770,90,490,2850,800,30,0,30,0,0,100,290,110391,1280,111432
98043,"$100,000 under $200,000",1350,220,1080,50,540,3440,1020,0,0,0,0,0,100,280,174139,1350,175975
98043,"$200,000 or more",160,20,140,0,100,440,150,0,0,0,0,0,0,40,47303,160,48096
98045,"$1 under $25,000",1820,1530,140,130,590,1680,310,30,0,30,0,0,150,310,20517,1820,20984
98045,"$25,000 under $50,000",1270,850,230,170,460,1970,490,40,0,40,0,0,180,250,46851,1270,47699
98045,"$50,000 under $75,000",900,420,350,100,400,1710,470,0,0,0,0,0,110,210,55677,900,56702
98045,"$75,000 under $100,000",790,230,480,70,360,1800,530,0,0,0,0,0,80,220,69327,790,70223
98045,"$100,000 under $200,000",1810,200,1520,80,820,4980,1660,0,0,0,0,0,110,370,252348,1810,255263
98045,"$200,000 or more",760,50,700,0,460,2300,850,0,0,0,0,0,0,130,319644,760,324133
98047,"$1 under $25,000",1000,690,90,200,360,1420,470,50,30,20,0,0,180,130,13121,1000,13254
98047,"$25,000 under $50,000",930,460,220,230,400,1920,780,30,30,0,0,0,200,110,34006,930,34230
98047,"$50,000 under $75,000",520,180,250,80,230,1300,520,0,0,0,0,0,80,80,32213,520,32412
98047,"$75,000 under $100,000",310,70,200,50,130,810,310,0,0,0,0,0,30,40,26327,310,26451
98047,"$100,000 under $200,000",320,50,260,0,160,870,290,0,0,0,0,0,40,60,39456,320,39928
98047,"$200,000 or more",20,0,20,0,0,70,20,0,0,0,0,0,0,0,8504,20,8504
98051,"$1 under $25,000",450,360,50,40,150,450,80,0,0,0,0,0,40,100,5415,450,5502
98051,"$25,000 under $50,000",320,180,90,40,130,540,130,0,0,0,0,0,40,90,11733,320,11837
98051,"$50,000 under $75,000",230,110,90,20,100,430,110,0,0,0,0,0,30,60,13983,230,14075
98051,"$75,000 under $100,000",230,70,150,20,130,510,130,0,0,0,0,0,30,70,20106,230,20293
98051,"$100,000 under $200,000",400,60,340,0,220,1020,290,0,0,0,0,0,20,120,54981,400,55454
98051,"$200,000 or more",140,0,130,0,80,460,180,0,0,0,0,0,0,0,54630,140,55586
98052,"$1 under $25,000",5990,4880,570,460,1840,6240,1300,260,140,110,80,0,390,1070,68409,5990,70141
98052,"$25,000 under $50,000",4370,2930,870,460,1480,7080,1880,160,100,60,0,0,400,790,161591,4370,164386
98052,"$50,000 under $75,000",3360,1910,1120,260,1320,5870,1390,30,0,30,0,0,260,800,208657,3360,212213
98052,"$75,000 under $100,000",3070,1210,1630,170,1350,6330,1620,30,0,30,0,0,160,680,267801,3070,271376
98052,"$100,000 under $200,000",8710,2380,5900,340,3350,21040,6420,20,0,20,0,0,380,1360,1255791,8710,1268112
98052,"$200,000 or more",6040,510,5400,120,2850,18740,7300,0,0,0,0,0,60,620,2385726,6040,2404457
98053,"$1 under $25,000",1910,1600,230,60,640,1650,180,20,20,0,0,0,90,540,19512,1910,20123
98053,"$25,000 under $50,000",1130,740,270,100,460,1700,320,40,0,40,0,0,80,440,41625,1130,42517
98053,"$50,000 under $75,000",890,470,360,50,420,1510,270,0,0,0,0,0,40,440,55036,890,55899
98053,"$75,000 under $100,000",780,260,470,50,340,1570,320,0,0,0,0,0,40,420,68082,780,69034
98053,"$100,000 under $200,000",2470,390,1990,80,1070,6560,2110,0,0,0,0,0,80,910,360704,2470,365534
98053,"$200,000 or more",2570,120,2400,50,1300,8410,3440,0,0,0,0,0,30,450,1080179,2570,1090547
98055,"$1 under $25,000",3120,2360,340,380,1080,4000,1050,170,90,80,40,20,350,550,41091,3120,41874
98055,"$25,000 under $50,000",3160,1950,560,570,1120,5370,1660,120,80,40,0,0,470,470,117338,3160,118784
98055,"$50,000 under $75,000",2100,1060,700,300,820,3980,1190,60,40,20,0,0,250,380,129292,2100,130566
98055,"$75,000 under $100,000",1340,450,750,110,570,2980,890,20,0,20,0,0,130,260,115855,1340,116925
98055,"$100,000 under $200,000",1700,340,1260,90,760,4180,1220,0,0,0,0,0,100,380,226638,1700,228415
98055,"$200,000 or more",270,40,230,0,150,700,200,0,0,0,0,0,0,80,84647,270,85280
98056,"$1 under $25,000",4690,3470,540,610,1820,6030,1640,240,140,110,50,0,420,780,59659,4690,60850
98056,"$25,000 under $50,000",4140,2470,840,770,1660,7660,2700,170,100,70,20,0,560,610,151832,4140,153784
98056,"$50,000 under $75,000",2670,1390,930,300,1120,5240,1640,60,30,30,0,0,250,550,164598,2670,166757
98056,"$75,000 under $100,000",1780,650,950,160,730,3910,1180,20,0,20,0,0,150,400,154062,1780,155583
98056,"$100,000 under $200,000",3100,700,2240,140,1330,7680,2340,0,0,0,0,0,170,700,426358,3100,431496
98056,"$200,000 or more",1200,130,1040,30,690,3270,1020,0,0,0,0,0,20,240,454915,1200,462091
98057,"$1 under $25,000",2200,1610,180,380,890,3070,880,170,110,60,60,0,320,420,29503,2200,30088
98057,"$25,000 under $50,000",2100,1370,310,360,740,3480,1060,130,100,30,0,0,310,290,76802,2100,77596
