ID,Suc_flag,ARPU,PromCnt12,PromCnt36,PromCntMsg12,PromCntMsg36,Class,Age,Gender,HomeOwner,AvgARPU,AvgHomeValue,AvgIncome
2583,1,25,6,11,2,4,1,51,F,H,50,108500,67061
2586,1,100,6,7,2,2,2,46,M,H,57,91600,45932
2596,1,140,6,7,2,2,2,,M,H,56,50500,41506
2609,0,,5,9,2,3,2,49,M,H,49,60000,43073
2615,0,,6,12,2,4,2,,F,H,59,90500,75224
2623,0,,7,9,2,3,3,49,F,H,59,39400,26733
2640,0,,6,8,2,3,4,,F,U,49,140500,
2643,1,125,7,11,2,4,2,47,F,U,56,212300,
2678,0,,6,11,2,4,1,50,F,U,47,51400,35122
2687,0,,6,11,2,4,1,50,F,H,49,62900,46449
2691,1,80,7,10,2,3,3,,U,U,48,83400,
2693,0,,7,12,2,4,3,52,M,U,49,54400,50754
2757,1,50,6,11,2,4,2,39,F,U,49,77000,31563
2781,1,100,4,5,1,2,2,45,F,H,50,243200,42637
2796,1,125,5,7,2,2,4,,M,H,50,68200,45909
2798,0,,3,5,1,1,1,,F,U,49,107300,
2809,1,125,6,8,2,3,3,36,F,H,50,121900,54028
2814,0,,6,8,2,3,2,50,F,H,48,44700,42648
2853,1,50,5,10,2,4,2,,F,U,48,68200,
2861,1,35,6,11,2,4,2,47,M,U,50,81700,57426
2867,1,65,7,8,2,3,3,,F,U,47,47600,
2868,0,,5,10,1,3,1,27,F,U,50,160100,
2889,1,15,6,8,2,3,1,52,F,H,48,20800,35250
2935,1,125,7,8,1,1,2,,F,H,60,160900,89773
2941,0,,6,11,1,3,2,38,F,H,50,118100,62385
2950,1,10,8,13,1,1,1,,M,H,52,71700,48045
2951,1,25,11,16,2,4,1,50,M,U,48,133000,
2952,0,,12,16,1,3,2,51,F,U,48,79200,
2964,0,,9,14,2,4,2,,M,H,48,29200,40375
2989,0,,5,8,1,2,2,28,M,H,60,85100,61132
2996,0,,6,11,1,3,4,44,F,U,50,123200,
3008,0,,9,14,1,4,2,50,M,U,49,96500,42341
3009,1,100,7,12,1,3,3,44,F,H,51,118400,49566
3011,0,,8,13,2,4,1,46,F,H,49,59600,71303
3018,1,125,7,10,2,2,3,,F,U,50,142900,
3063,0,,8,13,1,3,2,52,M,H,53,452600,59553
3109,1,125,10,14,2,2,2,48,M,H,61,100200,42375
3118,1,50,6,8,1,1,4,39,F,H,50,87100,58689
3155,0,,7,12,1,3,1,51,F,H,50,121700,67326
3214,0,,8,13,1,4,1,15,M,H,55,,
3242,0,,7,12,1,3,3,49,F,U,49,62900,45337
3252,1,100,7,12,1,3,3,52,F,H,50,87800,50160
3312,1,75,8,12,2,3,3,44,M,H,49,93000,62681
3412,0,,7,11,1,3,2,47,F,H,50,152800,51352
3424,0,,7,8,1,2,3,50,M,H,65,85000,90238
3496,1,50,7,10,1,3,3,37,M,U,50,68800,77288
3504,1,85,8,12,2,3,4,51,F,U,50,70000,44295
3550,1,50,7,10,1,1,3,53,M,U,52,34200,41875
3553,1,100,7,12,2,3,1,52,M,H,56,73200,52406
3579,1,90,7,10,2,2,4,40,M,H,54,393700,87880
3608,1,135,8,13,2,4,2,,M,U,57,69400,31126
3612,0,,7,11,1,3,3,28,F,H,50,134500,42275
3631,1,65,9,11,2,3,4,,M,U,48,64200,
3638,1,75,7,10,2,3,3,,F,U,49,95100,
3651,1,125,8,11,2,3,3,49,F,H,60,66800,52330
3685,1,75,8,12,2,3,3,46,F,H,50,82700,40788
3691,1,100,7,8,1,1,2,48,F,U,57,60500,
3718,0,,5,10,1,4,3,,M,U,69,80100,
3746,1,50,6,11,1,3,3,47,M,H,51,155500,56614
3763,1,180,12,17,3,5,3,51,M,U,70,69400,
3825,1,75,10,15,2,1,3,50,M,H,54,94300,50984
3868,0,,3,8,1,3,2,,F,U,50,54300,48058
3873,0,,4,9,1,3,2,50,F,H,59,58100,50173
3875,0,,5,10,2,4,2,52,F,H,58,56600,41801
3891,1,125,8,12,1,3,2,52,F,H,56,28300,45709
3918,1,105,10,15,1,3,4,49,F,H,57,593100,155586
3931,1,50,3,5,1,1,2,,F,U,57,52900,49240
3933,1,100,5,9,1,3,2,37,M,U,50,91200,
3953,1,100,3,8,1,1,1,,M,H,63,225400,66717
3964,0,,9,14,1,4,3,,M,U,71,93800,43729
3965,0,,6,12,2,2,3,,M,H,73,450000,95776
3976,0,,7,12,1,3,2,50,F,U,50,51000,56440
3985,1,60,11,16,2,4,3,50,F,H,48,34800,
3995,0,,4,9,1,3,2,51,M,U,50,47600,34373
4017,1,75,4,8,1,1,3,48,F,H,60,572500,95837
4026,1,10,3,7,1,3,1,49,F,H,48,74800,51091
4048,1,85,4,8,1,1,3,48,F,U,54,101400,37766
4055,1,50,7,8,1,1,3,43,M,U,50,124700,57337
4094,0,,3,5,0,1,1,51,F,H,51,231500,106762
4119,0,,3,8,1,3,3,,F,U,76,70800,
4127,0,,4,10,1,3,4,51,F,H,51,87500,51904
4132,0,,8,13,1,3,3,50,F,U,50,89400,40898
4150,1,70,5,10,1,1,3,45,F,H,54,58000,47076
4187,1,125,9,13,2,3,4,52,F,U,49,95100,
4194,0,,5,11,1,4,4,50,F,H,91,56900,58514
4200,0,,5,5,1,1,3,45,M,H,77,92300,46312
4208,0,,5,9,1,1,3,,U,U,78,,
4211,1,125,5,10,1,3,2,46,F,U,58,91900,44272
4225,1,50,4,8,1,1,1,15,M,U,53,100300,36193
4240,0,,3,5,1,2,2,,F,U,49,97100,
4243,1,100,4,9,1,1,3,45,F,H,54,86700,31228
4254,1,100,8,13,2,1,2,44,M,U,61,173800,95596
4284,0,,7,12,1,1,2,49,M,H,63,61000,51002
4288,0,,7,11,1,3,1,52,M,H,49,73300,47389
4300,0,,10,14,1,3,3,49,M,U,50,71200,38464
4314,1,30,4,9,1,3,1,51,F,H,49,67800,39604
4315,0,,8,13,1,3,2,39,M,H,50,58400,51369
4320,1,75,4,9,1,3,3,28,F,U,51,73800,68684
4321,0,,8,13,1,3,1,,F,H,49,76900,50760
4340,0,,6,11,2,2,2,53,M,U,61,56800,
4390,1,50,3,7,1,2,2,53,F,U,49,72700,
4393,1,50,7,10,1,3,2,53,M,U,50,104700,65650
4417,0,,9,13,1,3,2,50,M,H,48,77800,38184
4432,0,,3,8,1,3,2,46,F,H,59,217200,60858
4513,1,100,4,8,1,3,4,49,M,H,51,63000,51918
4522,1,100,4,8,1,2,1,52,M,U,57,235600,
4544,1,100,15,20,2,4,2,,M,U,60,513200,
4588,1,75,10,15,2,4,4,52,M,U,49,56100,
4589,0,,6,11,1,3,1,46,M,H,50,93800,52444
4590,0,,8,13,1,3,4,52,F,H,49,53500,32033
4605,0,,4,10,1,1,3,52,M,H,74,206300,62136
4606,1,125,6,11,2,1,2,50,U,U,64,104500,
4629,1,75,5,10,1,3,1,50,M,H,50,146000,43088
4632,0,,8,13,2,4,4,44,M,H,50,70000,57846
4638,1,125,8,13,1,3,3,50,F,H,63,247300,72198
4644,0,,9,14,1,3,3,50,M,H,50,107200,56843
4693,1,90,8,13,2,4,3,46,F,H,52,242100,83472
4726,0,,7,12,2,4,3,28,M,U,50,92100,39262
4732,0,,6,11,1,3,1,52,M,H,49,47000,41550
4739,0,,4,9,1,3,3,52,F,H,53,352000,47365
4746,0,,8,13,1,3,2,47,M,H,60,122200,32593
4748,0,,6,11,1,3,2,51,M,H,51,156300,63171
4767,0,,7,11,1,3,2,,F,U,57,67500,39564
4786,0,,8,12,1,3,4,46,M,H,99,365600,73833
4804,0,,7,10,1,2,4,46,M,H,53,257400,72040
4847,1,50,4,8,1,3,1,,F,U,49,70700,41408
4869,0,,7,12,2,3,4,51,F,U,53,385400,
4881,1,50,5,9,1,3,2,33,M,U,49,59900,44390
4891,1,100,4,8,1,3,3,,F,H,52,149000,69171
4907,1,110,4,9,1,3,4,,F,U,50,55300,
4917,1,75,2,5,1,2,3,47,F,U,50,80100,
4956,0,,3,8,1,3,2,53,M,H,50,87300,78595
4991,1,115,4,8,1,3,1,51,F,H,57,43600,42565
5003,0,,4,9,1,3,2,48,M,H,58,180000,46867
5023,0,,4,9,1,3,1,,F,U,49,48100,41307
5070,1,50,7,12,1,3,2,50,F,H,50,65700,50546
5074,1,155,7,11,1,3,2,52,M,H,60,108900,47008
5123,1,30,3,6,1,3,1,,F,H,50,187800,56053
5140,1,35,6,10,1,2,1,51,M,H,52,324700,66882
5144,1,75,12,15,2,4,3,,M,H,49,193800,36726
5172,1,50,6,10,1,3,3,39,M,H,50,29100,39562
5180,1,65,6,11,2,4,2,51,F,H,49,46900,40076
5261,0,,5,9,1,3,2,38,M,H,48,36400,33431
5272,1,100,3,8,1,1,3,50,M,U,55,89500,63917
5321,1,125,8,11,2,3,2,42,U,H,61,222000,66798
5331,1,70,8,13,2,4,3,,U,U,50,161800,84071
5335,1,50,4,9,1,3,3,51,F,H,50,51500,71200
5354,0,,8,13,1,1,3,48,F,H,54,92400,103129
5365,0,,9,14,1,1,1,51,F,U,53,42500,54914
5366,1,100,4,7,1,2,4,44,F,H,51,152200,48028
5404,1,50,3,8,1,1,2,47,U,U,61,58700,42209
5405,0,,3,8,1,3,2,15,M,H,53,361700,51250
5407,0,,8,13,1,1,3,50,F,U,65,41000,37290
5424,0,,7,12,1,1,3,44,M,H,77,225200,100789
5477,0,,6,9,1,2,1,,F,U,49,74600,
5496,1,25,4,7,1,1,3,52,M,H,52,32300,29982
5497,0,,10,15,2,4,1,50,F,H,48,54300,36928
5510,1,100,8,12,2,4,3,53,F,U,49,70500,
5511,1,105,9,11,1,1,2,51,M,H,62,149300,88668
5524,1,75,10,13,2,3,4,50,F,H,50,108400,68103
5532,1,75,8,13,1,3,3,51,M,H,51,169000,83169
5546,1,50,4,9,2,3,2,51,F,U,49,71700,
5556,0,,3,7,1,2,1,51,F,U,49,55200,60140
5610,1,50,9,14,2,3,2,53,M,H,49,66600,45303
5613,1,60,8,13,1,3,2,48,F,U,51,288000,
5614,1,95,10,13,2,4,4,51,M,H,50,180300,79882
5642,1,240,8,13,1,3,2,,F,H,57,100000,48639
5681,0,,3,8,1,1,2,52,F,H,62,24200,31989
5699,0,,6,11,1,3,1,51,F,H,49,64800,45887
5733,1,50,5,9,2,3,2,,M,U,49,56900,36897
5742,1,375,4,10,1,3,4,49,F,H,91,291000,61461
5770,0,,4,9,1,1,4,49,F,H,54,50200,37244
5798,1,250,7,12,1,1,3,38,U,U,91,87200,67852
5822,1,55,5,10,1,3,1,49,F,H,49,51300,44472
5835,1,150,8,13,4,5,3,,F,U,48,40400,48750
5852,1,50,10,14,1,3,2,52,M,U,48,40400,34398
5854,0,,8,13,1,3,1,52,F,U,48,60400,
5881,1,60,7,12,1,3,4,52,M,U,52,246900,64579
5906,0,,4,8,1,2,2,51,M,H,50,58400,41677
5949,0,,4,8,1,2,4,50,F,U,51,50700,44242
5960,0,,5,10,1,3,4,43,M,H,51,150400,57000
5967,1,50,8,12,1,2,2,43,M,U,49,41000,
5968,1,60,13,18,4,6,1,,F,U,46,68500,
6006,1,500,8,13,1,3,4,52,F,U,89,94700,32981
6026,0,,7,13,2,4,4,50,M,U,52,374000,
6028,1,75,4,9,1,3,4,44,M,H,53,245800,59190
6034,0,,4,8,1,3,3,,F,U,51,100700,60487
6046,0,,9,14,1,3,2,51,M,H,61,199400,52604
6047,0,,7,12,1,3,3,53,M,H,53,349000,90677
6050,1,160,12,17,2,4,3,,F,U,47,69100,
6064,0,,7,10,1,2,4,,M,H,51,72600,39689
6076,1,50,6,10,1,1,1,51,F,H,52,32800,45055
6099,1,50,9,14,2,4,2,42,M,H,50,173300,34402
6147,1,120,9,14,1,3,4,51,M,U,49,39900,36977
6164,0,,6,11,1,3,3,53,M,H,49,64300,51054
6169,1,25,8,11,2,3,1,53,F,U,48,67900,55681
6183,1,500,6,12,1,3,3,50,M,H,62,159800,70682
6185,1,150,6,11,2,4,4,50,F,H,52,225800,42822
6198,1,100,8,13,1,3,4,53,F,U,51,194100,
6232,0,,4,10,1,3,4,51,M,H,51,,105120
6273,0,,4,9,1,4,2,52,F,H,49,78300,40290
6292,1,100,8,13,2,2,4,52,F,H,54,107900,70936
6293,0,,5,9,1,2,4,51,M,H,53,173300,85733
6294,0,,4,9,1,1,4,49,F,U,56,186800,
6298,1,35,10,13,2,3,1,50,F,H,48,59800,40235
6304,1,100,6,11,1,3,3,53,M,H,50,50000,34004
6308,1,60,10,14,2,3,3,51,M,U,49,45400,40049
6325,1,75,7,11,1,3,4,49,F,H,50,33100,32481
6351,1,50,3,8,1,3,2,,M,H,50,55200,48058
6388,1,70,8,12,1,3,2,51,F,H,52,272300,73909
6403,1,50,10,14,1,3,3,50,M,H,50,67700,50359
6411,0,,7,11,1,3,2,49,U,U,57,98800,
6443,1,100,6,11,1,3,4,50,M,H,50,59500,37481
6451,0,,5,11,1,3,2,46,M,H,54,418700,86116
6457,1,75,5,10,1,3,1,,F,U,49,95600,
6490,1,125,7,10,1,1,2,53,M,U,61,111800,
6510,0,,4,9,1,1,3,52,F,H,60,529700,122638
6511,0,,4,9,1,4,4,53,F,H,55,400000,90255
6532,0,,3,6,1,1,2,49,U,U,54,297900,
6537,0,,5,9,1,3,3,44,F,H,51,76000,67291
6555,1,50,10,15,2,4,1,51,M,H,51,312500,107323
6587,1,100,5,10,2,4,4,51,F,H,51,166400,41642
6599,1,55,2,6,1,3,3,47,F,U,50,71900,44928
6615,1,55,4,9,2,4,3,,F,U,50,170100,
6643,1,80,6,10,1,3,4,51,M,H,53,319900,73378
6649,1,250,11,15,2,4,3,,F,H,64,202600,60419
6665,0,,5,10,1,3,2,49,M,U,53,319600,76749
6669,0,,6,11,1,3,2,48,F,H,62,304000,118907
6684,0,,5,7,1,2,2,52,F,H,56,43500,42103
6695,1,30,4,9,1,3,1,37,M,H,49,47100,38770
6755,0,,3,8,1,1,4,,M,H,55,115900,51822
6757,0,,9,13,2,3,2,51,F,U,48,75500,49173
6777,0,,8,12,1,3,3,,F,U,49,81300,46083
6789,1,50,6,10,1,3,3,52,M,U,60,51500,44947
6806,0,,9,12,1,3,2,50,F,H,57,84900,32757
6845,1,100,9,14,1,3,1,51,F,H,56,55100,45292
6851,1,35,5,10,2,3,3,49,U,U,50,140000,
6875,0,,4,9,1,3,2,42,F,H,60,155600,87665
6885,0,,7,13,1,4,2,43,F,U,57,74800,49725
6909,1,75,4,9,1,3,4,49,M,U,51,38300,50000
6912,1,75,10,14,2,4,4,50,F,H,48,61700,37270
6917,0,,2,7,1,3,2,40,M,U,59,108200,
6931,0,,8,12,1,3,2,49,M,H,57,123500,62058
6932,1,50,9,14,2,4,2,52,M,U,49,111000,56722
6941,1,75,4,9,1,3,2,46,M,H,62,164100,61523
6971,0,,4,10,2,2,4,52,M,H,56,147000,49514
6981,1,50,7,12,2,4,1,,F,U,48,39700,
7017,0,,4,8,1,3,1,52,F,U,49,35000,37500
7048,1,75,5,9,1,3,3,48,M,U,52,343100,
7059,1,50,2,3,1,1,2,51,F,H,49,101500,56392
7082,1,50,4,9,1,1,3,52,F,H,58,332700,73909
7086,0,,3,7,1,3,3,51,F,U,66,66100,
7103,0,,3,9,1,3,4,49,M,U,54,333300,79008
7118,0,,4,9,1,3,1,51,F,H,48,55500,42854
7160,1,70,4,9,2,3,4,15,M,H,51,111700,60963
7173,1,160,4,9,1,3,2,49,F,U,57,85400,38328
7174,1,50,3,7,1,2,2,49,F,U,50,50400,40389
7178,0,,4,9,1,1,3,48,F,H,56,266400,71258
7211,0,,4,9,1,1,3,47,M,H,53,63600,44702
7212,0,,3,7,1,2,2,,F,U,50,67500,30389
7237,0,,7,12,1,3,2,50,M,H,52,253400,81819
7238,1,60,4,8,1,1,1,,F,U,52,37400,
7259,0,,9,13,1,3,2,50,M,H,50,90700,81196
7265,1,50,4,9,1,3,3,,F,U,51,146500,50882
7301,1,50,8,13,2,4,2,51,M,U,48,28400,42125
7330,1,30,8,13,2,4,1,51,F,U,48,62300,61831
7346,1,75,6,9,2,1,3,,F,H,53,193600,36370
7392,0,,4,8,1,3,3,52,M,H,50,71900,46423
7402,1,375,4,9,1,3,3,47,F,H,84,291500,38563
7451,1,110,4,9,1,3,4,52,U,U,50,60800,
7485,0,,4,9,1,1,4,52,M,U,56,90500,61802
7494,1,30,3,8,1,3,1,50,F,H,51,150000,51240
7507,1,50,6,9,1,2,3,50,M,U,51,107500,71014
7516,0,,5,10,1,3,2,42,F,H,58,246400,
7518,1,25,3,7,1,3,1,,M,U,49,60700,50346
7541,0,,7,12,1,3,1,48,F,U,49,29400,37837
7554,0,,4,8,1,3,1,53,M,H,49,33300,34599
7590,1,150,8,12,2,1,2,40,F,U,62,68900,40197
7592,0,,8,12,1,3,2,52,M,U,49,42100,36714
7607,0,,6,8,1,2,2,49,M,H,60,87000,69181
7637,1,50,7,12,1,3,2,51,F,H,49,35300,33438
7649,1,65,12,16,3,5,3,,F,U,49,131800,62350
7664,0,,4,9,1,3,2,51,M,H,59,194600,38841
7676,1,175,7,12,1,1,4,,F,U,55,46600,41329
7691,0,,5,9,1,3,2,46,M,H,62,330800,44543
7710,0,,9,14,1,3,4,50,F,H,50,90500,47021
7722,0,,6,12,1,3,3,,F,H,50,57300,29349
7734,1,100,10,15,2,3,3,50,M,U,50,68300,58750
7776,0,,8,12,2,4,2,49,F,U,50,158000,
7799,0,,9,13,1,3,2,13,F,U,49,64100,51738
7809,0,,7,13,1,3,3,,M,H,68,172200,87767
7811,0,,6,11,1,3,2,,F,U,59,137200,
7836,1,125,10,14,2,4,2,51,M,H,60,212300,61202
7846,1,50,4,8,1,3,2,,M,H,50,57700,56683
7852,1,50,9,13,2,3,2,,F,U,49,50300,51510
7879,1,125,6,11,1,3,2,49,F,H,57,107200,48544
7917,1,15,3,8,1,3,1,40,M,H,55,533200,66039
7924,1,60,5,8,1,2,2,51,F,U,48,47100,
7947,1,55,12,17,3,5,2,52,M,U,47,55700,
7985,0,,3,6,1,2,2,,F,U,49,75000,
7991,0,,3,7,1,2,3,52,M,U,51,36400,30490
7995,0,,7,13,1,3,4,,M,H,50,44600,31324
8013,1,50,9,14,2,4,2,47,F,H,49,89000,54341
